time,input_aIL6R,input_aIL1A,input_aIL1B,input_aTNFA,input_aIL1R,input_aIL10R,input_IFNG,TNFA_mfi,TNFA_mfi_std,IL1A_mfi,IL1A_mfi_std,IL1B_mfi,IL1B_mfi_std,IL6_mfi,IL6_mfi_std,IL10_mfi,IL10_mfi_std,p19_mfi,p19_mfi_std
16,1,1,1,1,1,0,0,0.855325863,1,0.636216099,1,0.575024677,1,0.638874507,1,0.71255485,1,0.989052003,1
16,1,1,1,1,1,0,0,0.681148582,1,0.7393015,1,0.661760463,1,0.805056234,1,0.776687918,1,0.987148417,1
16,1,1,1,1,1,0,0,0.725668973,1,0.663686521,1,0.58312917,1,0.683035075,1,0.550873256,1,0.98455434,1
16,1,1,1,1,1,0,0,0.742626093,1,0.793907799,1,0.708992654,1,0.831655586,1,0.785252917,1,0.963605117,1
16,1,1,1,1,1,0,0,0.943714902,1,0.702161416,1,0.624213345,1,0.68380332,1,0.59536757,1,0.986223552,1
16,1,1,1,1,1,0,0,0.949555176,1,0.673273116,1,0.581708794,1,0.691971056,1,0.578000761,1,0.979628615,1
16,1,1,1,1,1,0,0,0.94020391,1,0.748865635,1,0.668612513,1,0.741679039,1,0.709861264,1,0.995421933,1
16,1,1,1,1,1,0,0,0.939741322,1,0.713493388,1,0.60268302,1,0.697102622,1,0.598627419,1,0.993444648,1
16,1,1,1,1,1,0,0,0.886078861,1,0.51621947,1,0.523586396,1,0.55054511,1,0.608443613,1,0.924029109,1
16,1,1,1,1,1,0,0,0.908190186,1,0.582791024,1,0.555091054,1,0.586696865,1,0.754989309,1,0.93881706,1
16,1,1,1,1,1,0,0,0.76143894,1,0.719649584,1,0.651665279,1,0.791888203,1,0.801841199,1,1,1
16,1,1,1,1,1,0,0,0.892647032,1,0.721860323,1,0.67901934,1,0.712311181,1,0.765952848,1,0.999062181,1
16,1,1,1,1,1,0,0,0.847141632,1,0.71513763,1,0.662501722,1,0.76924223,1,0.770047382,1,0.996374853,1
16,1,1,1,1,1,0,0,0.980202264,1,0.733497991,1,0.663378967,1,0.792223936,1,0.771914417,1,1,1
16,1,1,1,1,1,0,0,0.828239187,1,0.879053627,1,0.787675157,1,0.896451953,1,0.916453307,1,0.985467272,1
16,1,1,1,1,1,0,0,0.813195876,1,0.792936294,1,0.755689539,1,0.785422715,1,0.887416729,1,0.994371292,1
16,1,1,1,1,1,0,0,0.771875808,1,0.868183098,1,0.824931778,1,0.905449069,1,0.946485064,1,1,1
16,0,1,1,1,1,1,0,0.122590193,1,0.210211579,1,0.262934461,1,0.200585599,1,0.21650777,1,0.006494153,1
16,0,1,1,1,1,1,0,0.205008023,1,0.186151462,1,0.214339109,1,0.126893952,1,0.126202779,1,0.000863324,1
16,0,1,1,1,1,1,0,0.219126439,1,0.164880567,1,0.220686707,1,0.113522744,1,0.221209226,1,0.007535757,1
16,0,1,1,1,1,1,0,0.168427825,1,0.1806464,1,0.284163549,1,0.154858542,1,0.250441382,1,0.007747184,1
16,0,1,1,1,1,1,0,0.070782071,1,0.350813595,1,0.425505344,1,0.353304059,1,0.556165726,1,0.020053034,1
16,0,1,1,1,1,1,0,0.054012466,1,0.295395582,1,0.374277821,1,0.293578143,1,0.448925066,1,0.037758409,1
16,0,1,1,1,1,1,0,0.078507305,1,0.258079228,1,0.375115708,1,0.280597563,1,0.422103202,1,0.016555061,1
16,0,1,1,1,1,1,0,0.036731085,1,0.30015328,1,0.378646753,1,0.31768305,1,0.422115145,1,0.008374282,1
16,0,1,1,1,1,1,0,0.095280223,1,0.445709717,1,0.474904261,1,0.45307327,1,0.335635093,1,0.050156918,1
16,0,1,1,1,1,1,0,0.121275592,1,0.44584306,1,0.487724428,1,0.470342115,1,0.255935084,1,0.118898725,1
16,1,0,1,1,1,1,0,0.060928138,1,0.351409585,1,0.434088145,1,0.342125981,1,0.5491977,1,0.012410124,1
16,1,0,1,1,1,1,0,0.07503034,1,0.38503442,1,0.492754408,1,0.353615067,1,0.584569902,1,0.010756176,1
16,1,0,1,1,1,1,0,0.084835291,1,0.312510963,1,0.406738307,1,0.296636604,1,0.407590295,1,0.006536533,1
16,1,0,1,1,1,1,0,0.050167747,1,0.357493303,1,0.424299128,1,0.351407912,1,0.48085777,1,0.011034242,1
